time-hour stock-price avg-price-3-min avg-price-5-min average-volume current-volume number-of-stocks portfolio-value 
815 195.39 195.385 195.432 1541.0 2500 0 30007.0
816 195.43 195.4 195.42200000000003 1294.6666666666667 469 0 30007.0
817 195.36 195.385 195.388 1354.3333333333333 1094 0 30007.0
818 195.365 195.38 195.37900000000002 1110.3333333333333 1768 0 30007.0
819 195.37 195.36625 195.38300000000004 1910.0 2868 0 30007.0
820 195.375 195.37125 195.38000000000005 2226.0 2042 0 30007.0
821 195.39 195.38125 195.37200000000004 1736.6666666666667 300 0 30007.0
822 195.37 195.37625 195.37400000000002 1121.6666666666667 1023 0 30007.0
823 195.32 195.35 195.365 1114.0 2019 0 30007.0
824 195.33 195.3375 195.357 1514.0 1500 0 30007.0
825 195.32 195.3225 195.346 1342.0 507 0 30007.0
826 195.32 195.3225 195.332 877.3333333333334 625 0 30007.0
827 195.36 195.34 195.32999999999998 1387.3333333333333 3030 0 30007.0
828 195.39 195.365 195.344 1253.3333333333333 105 0 30007.0
829 195.39 195.3825 195.35600000000002 1345.0 900 0 30007.0
830 195.41 195.39999999999998 195.374 401.6666666666667 200 0 30007.0
831 195.39 195.39499999999998 195.388 518.3333333333334 455 0 30007.0
832 195.39 195.39499999999998 195.394 497.3333333333333 837 0 30007.0
833 195.3 195.345 195.376 564.0 400 0 30007.0
834 195.38 195.3625 195.374 662.0 749 0 30007.0
835 195.31 195.325 195.354 486.0 309 0 30007.0
836 195.35 195.3475 195.346 552.0 598 0 30007.0
837 195.33 195.32999999999998 195.334 403.3333333333333 303 0 30007.0
838 195.35 195.345 195.344 767.0 1400 25 30007.0
839 195.29 195.315 195.326 717.6666666666666 450 0 30005.5
840 195.225 195.27249999999998 195.30899999999997 985.3333333333334 1106 0 30005.5
841 195.165 195.21125 195.272 1044.6666666666667 1578 0 30005.5
842 195.22 195.20749999999998 195.25000000000003 1161.3333333333333 800 0 30005.5
843 195.1 195.14625 195.20000000000002 1158.3333333333333 1097 0 30005.5
844 195.19 195.175 195.18000000000004 833.6666666666666 604 0 30005.5
845 195.16 195.15249999999997 195.16700000000003 784.0 651 0 30005.5
846 195.16 195.16750000000002 195.16600000000003 708.6666666666666 871 25 30005.5
847 195.145 195.1525 195.151 803.0 887 0 30005.125
848 195.09 195.12125 195.149 1055.3333333333333 1408 0 30005.125
849 194.99 195.05375 195.10900000000004 1446.0 2043 0 30005.125
850 195.02 195.03000000000003 195.08100000000002 1392.0 725 0 30005.125
851 195.13 195.0675 195.07500000000002 1047.3333333333333 374 0 30005.125
852 195.13 195.1025 195.07200000000003 466.3333333333333 300 0 30005.125
853 195.06 195.095 195.06600000000003 236.0 34 0 30005.125
854 195.1 195.0975 195.08800000000002 318.0 620 0 30005.125
855 195.08 195.07999999999998 195.10000000000002 451.3333333333333 700 0 30005.125
856 194.94 195.015 195.062 712.0 816 0 30005.125
857 194.91 194.95999999999998 195.018 850.6666666666666 1036 0 30005.125
858 194.74 194.8325 194.954 1025.0 1223 0 30005.125
859 194.84 194.83249999999998 194.90200000000004 1070.6666666666667 953 0 30005.125
860 194.8 194.79500000000002 194.84600000000003 1939.6666666666667 3643 0 30005.125
861 194.84 194.82999999999998 194.82600000000002 2404.3333333333335 2617 0 30005.125
862 194.82 194.82 194.80800000000002 2582.3333333333335 1487 0 30005.125
863 194.88 194.855 194.836 1454.0 258 0 30005.125
864 194.865 194.85750000000002 194.841 687.0 316 0 30005.125
865 194.9 194.88625000000002 194.861 548.3333333333334 1071 25 30005.125
866 194.895 194.88875000000002 194.87200000000004 523.6666666666666 184 25 30005.0
867 194.91 194.90375 194.89000000000001 585.0 500 25 30005.375
868 194.93 194.91625 194.90000000000003 447.6666666666667 659 25 30005.875
869 194.98 194.95 194.92300000000003 593.3333333333334 621 50 30007.125
870 194.9 194.9275 194.923 601.6666666666666 525 0 30003.125
871 194.81 194.875 194.906 634.0 756 0 30003.125
872 194.87 194.8625 194.89800000000002 597.0 510 0 30003.125
873 194.83 194.835 194.87800000000001 996.6666666666666 1724 0 30003.125
874 194.68 194.76500000000001 194.818 1319.0 1723 0 30003.125
875 194.75 194.7525 194.788 1403.6666666666667 764 0 30003.125
876 194.51 194.6125 194.728 2046.6666666666667 3653 0 30003.125
877 194.57 194.6 194.668 2012.0 1619 0 30003.125
878 194.7 194.62 194.642 2100.6666666666665 1030 0 30003.125
879 194.75 194.6925 194.656 1069.0 558 0 30003.125
880 194.72 194.7225 194.65000000000003 715.3333333333334 558 0 30003.125
881 194.71 194.72250000000003 194.69 657.6666666666666 857 25 30003.125
882 194.73 194.7225 194.722 889.6666666666666 1254 25 30003.625
883 194.775 194.7475 194.73700000000002 1363.3333333333333 1979 50 30004.75
884 194.83 194.79125 194.75300000000001 1260.0 547 50 30007.5
885 194.65 194.72625 194.73900000000003 1278.0 1308 0 29998.5
886 194.69 194.715 194.735 1046.3333333333333 1284 0 29998.5
887 194.65 194.66000000000003 194.71900000000005 1264.0 1200 0 29998.5
888 194.69 194.68 194.702 1017.3333333333334 568 0 29998.5
